date,vix_open,vix_high,vix_low,vix_close,vix_prev_close,vix_change,vix_pct_change,nifty_open,nifty_high,nifty_low,nifty_close,nifty_prev_close,nifty_change,nifty_pct_change,vix_sma_5,vix_sma_10,vix_sma_20,vix_sma_50,vix_ema_9,vix_ema_21,vix_bb_upper,vix_bb_mid,vix_bb_lower,vix_bb_width,vix_bb_pct_b,vix_atr14,vix_atr14_pct,vix_rsi14,vix_zscore20,vix_roc_1,vix_roc_5,vix_roc_10,vix_roc_20,vix_intraday_range_pts,vix_intraday_range_pct,vix_vol_of_vol10,regime,regime_num,regime_streak,vix_hist_pct,nifty_sma_20,nifty_sma_50,nifty_daily_return,nifty_vol20,vix_nifty_corr20,vix_nifty_ratio,nifty_drawdown_pct
2026-07-07,11.8200,11.9400,11.0600,11.6500,11.8200,-0.1700,-1.4382,24464.4500,24530.9000,24348.9500,24398.7000,24430.3500,-31.6500,-0.1296,12.1600,12.8390,13.4655,,12.5291,13.4683,15.8986,13.4655,11.0324,0.3614,0.1269,1.4096,12.1000,19.2000,-1.4923,-1.4382,-14.3382,-9.2679,-31.5913,0.8800,7.5536,4.5044,COMPLACENT,1,3,15.2000,23922.4800,,-0.1296,10.7741,-0.9750,0.4775,-0.1296
2026-07-08,11.6500,15.1600,11.3400,14.6800,11.6500,3.0300,26.0086,24259.5500,24300.0000,23805.2000,23882.0500,24398.7000,-516.6500,-2.1175,12.4480,12.9130,13.4205,,12.9593,13.5785,15.7185,13.4205,11.1225,0.3425,0.7740,1.5818,10.7753,42.6000,1.0962,26.0086,10.8761,5.3085,-5.7766,3.8200,26.0218,9.3444,NORMAL,2,1,43.8000,23954.4700,,-2.1175,13.6516,-0.9497,0.6147,-2.2443
2026-07-09,14.6800,14.6800,13.0700,13.3600,14.6800,-1.3200,-8.9918,23928.9500,24134.7000,23925.7000,23962.8000,23882.0500,80.7500,0.3381,12.6620,12.9100,13.3070,,13.0394,13.5586,15.3563,13.3070,11.2577,0.3080,0.5129,1.5838,11.8550,37.5100,0.0517,-8.9918,8.7063,-0.2240,-14.5234,1.6100,12.0509,9.7601,NORMAL,2,2,30.6000,23991.8600,,0.3381,13.6338,-0.9392,0.5575,-1.9138
2026-07-10,13.3600,13.3600,12.1300,12.2500,13.3600,-1.1100,-8.3084,24124.7000,24228.4500,24120.3500,24206.9000,23962.8000,244.1000,1.0187,12.7520,12.8300,13.1390,,12.8815,13.4396,14.9277,13.1390,11.3503,0.2723,0.2515,1.5586,12.7229,33.8400,-0.9940,-8.3084,3.8136,-6.1303,-21.5247,1.2300,10.0408,10.1147,NORMAL,2,3,20.2000,24044.1300,,1.0187,13.8758,-0.9459,0.5061,-0.9146
2026-07-13,12.2500,13.5200,9.4800,13.2800,12.2500,1.0300,8.4082,24039.4000,24259.8000,24000.2000,24211.0000,24206.9000,4.1000,0.0169,13.0440,12.7970,13.0670,,12.9612,13.4251,14.6966,13.0670,11.4374,0.2494,0.5654,1.7358,13.0708,39.7300,0.2614,8.4082,12.3519,-2.4247,-9.7826,4.0400,30.4217,10.3983,NORMAL,2,4,29.8000,24073.5400,,0.0169,12.2111,-0.9075,0.5485,-0.8979
2026-07-14,13.2800,13.8700,11.6600,13.7500,13.2800,0.4700,3.5392,24068.0000,24157.1000,24023.7000,24052.0500,24211.0000,-158.9500,-0.6565,13.4640,12.8120,13.0370,,13.1190,13.4547,14.5873,13.0370,11.4867,0.2378,0.7300,1.7697,12.8704,42.2500,0.9198,3.5392,18.0258,1.1029,-4.1812,2.2100,16.0727,10.4505,NORMAL,2,5,34.5000,24083.4400,,-0.6565,12.0760,-0.8864,0.5717,-1.5485
2026-07-15,13.7500,13.8700,13.0400,13.2700,13.7500,-0.4800,-3.4909,24085.8500,24220.3500,24010.5500,24078.5000,24052.0500,26.4500,0.1100,13.1820,12.8150,13.0325,,13.1492,13.4379,14.5794,13.0325,11.4856,0.2374,0.5768,1.7026,12.8301,40.3900,0.3071,-3.4909,-9.6049,0.2266,-0.6737,0.8300,6.2547,10.4827,NORMAL,2,6,29.7000,24087.9100,,0.1100,11.9215,-0.8840,0.5511,-1.4402
2026-07-16,13.2700,13.2700,12.7800,12.8800,13.2700,-0.3900,-2.9390,24142.1000,24186.5000,24050.0000,24072.7500,24078.5000,-5.7500,-0.0239,13.0860,12.8740,13.0170,,13.0953,13.3872,14.5634,13.0170,11.4706,0.2376,0.4557,1.6159,12.5461,38.8900,-0.1772,-2.9390,-3.5928,4.8007,-2.3503,0.4900,3.8043,10.2216,NORMAL,2,7,25.9000,24087.2600,,-0.0239,11.8365,-0.8831,0.5350,-1.4638
2026-07-17,12.8800,13.3500,12.8100,13.1500,12.8800,0.2700,2.0963,24127.6000,24367.3000,24099.0500,24334.3000,24072.7500,261.5500,1.0865,13.2660,13.0090,13.0410,,13.1063,13.3656,14.5796,13.0410,11.5024,0.2360,0.5354,1.5391,11.7041,40.5400,0.1417,2.0963,7.3469,11.4407,3.7885,0.5400,4.1065,10.0786,NORMAL,2,8,28.5000,24095.5800,,1.0865,12.4033,-0.8218,0.5404,-0.3932
2026-07-20,13.1500,13.8400,12.8900,12.9800,13.1500,-0.1700,-1.2928,24190.0500,24266.1000,24135.8500,24238.5000,24334.3000,-95.8000,-0.3937,13.2060,13.1250,13.0415,,13.0810,13.3305,14.5800,13.0415,11.5030,0.2359,0.4800,1.4970,11.5332,39.8100,-0.0799,-1.2928,-2.2590,9.8139,0.0771,0.9500,7.3190,10.1107,NORMAL,2,9,26.8000,24106.8500,,-0.3937,12.2542,-0.8196,0.5355,-0.7853
